1. api.onedrive.com,56436,13.107.42.12
2. browser.events.data.microsoft.com,38860,20.189.173.18
3. browser.pipe.aria.microsoft.com,38490,20.189.173.23
4. clientservices.googleapis.com,55664,2a00:1450:400e:80f::2003
5. config.edge.skype.com,45602,2620:1ec:21::16
6. ecs.office.com,47768,2620:1ec:42::132
7. login.live.com,46084,20.190.177.85
8. onedrive.live.com,36274,13.107.137.11
9. optimizationguide-pa.googleapis.com,53216,2a00:1450:400e:800::200a
10. res.cdn.office.net,38844,2a02:a000:1:213::51f3:1e2
11. res-1.cdn.office.net,60310,2a02:a000:1:213::51f3:1ab
12. safebrowsing.googleapis.com,52748,2a00:1450:400e:80f::200a
13. skyapi.onedrive.live.com,54104,13.104.208.164
14. spo.nel.measure.office.net,59098,2a02:a000:1:213::51f3:121
15. southcentralus1-0.pushnp.svc.ms,46704,2603:1036:2407:1::d
16. storage.live.com,60376,20.143.1.17
17. translate.googleapis.com,46962,2a00:1450:400e:810::200a
18. update.googleapis.com,48166,2a00:1450:400e:803::2003
